file,label,sample_rate,frame_count,duration_sec,source_platform,cloning_tool,mean_1,std_1,mean_2,std_2,mean_3,std_3,mean_4,std_4,mean_5,std_5,mean_6,std_6,mean_7,std_7,mean_8,std_8,mean_9,std_9,mean_10,std_10,mean_11,std_11,mean_12,std_12,mean_13,std_13
asli1.wav,asli,48000,971,9.71,WhatsApp,N/A,-395.487305,67.608902,161.062241,53.631184,43.225147,32.658928,22.380358,27.7558,13.090371,23.76988,-7.231502,17.995972,4.698056,18.751898,9.634882,11.955809,-7.571434,14.350461,-5.637991,13.291597,8.30729,12.042892,4.339168,11.059058,-6.974113,8.836888
asli2.wav,asli,48000,1061,10.61,WhatsApp,N/A,-357.609253,74.955612,151.843262,55.608143,21.927841,32.337601,12.872184,25.353853,19.237846,24.749269,-3.469246,17.143084,-8.4013,17.974913,-4.403621,12.649302,-6.600356,12.825089,-9.90172,11.987928,-9.109436,12.154446,-5.37648,10.278979,-5.9762,8.29449
asli3.wav,asli,48000,1024,10.24,WhatsApp,N/A,-350.795563,58.591434,144.451569,42.908325,33.738632,36.406731,27.738871,30.599598,2.392188,24.334805,-26.875694,18.148342,-12.169853,17.454441,0.321457,13.041296,-2.794511,10.799228,-9.626202,11.401048,-6.23378,11.13381,-1.682659,9.716069,-8.072103,8.52105
asli4.wav,asli,48000,1095,10.95,WhatsApp,N/A,-372.294586,79.866379,125.418808,51.167034,14.202071,31.221067,47.313087,29.466627,17.87332,21.915401,-17.489595,21.94635,12.966413,15.329668,10.533049,13.386814,-8.837405,13.810117,-7.93846,11.728109,-7.186853,10.285591,-5.511039,10.610721,-4.175426,8.885715
asli5.wav,asli,48000,1107,11.07,WhatsApp,N/A,-379.69696,84.467949,129.832947,62.027184,-0.417888,36.710758,9.470178,28.102716,24.676065,27.503647,-8.445224,17.602911,-10.58623,19.940636,6.444414,14.704051,-1.745831,11.1966,-14.594882,14.188547,-7.917699,11.855824,-1.658072,11.523653,-10.542358,8.99819
asli_cowo.wav,asli,48000,994,9.94,WhatsApp,N/A,-382.917419,92.821556,174.368698,67.242867,23.233568,38.161335,17.794571,30.72579,18.794065,23.03834,11.9468,17.63394,16.943415,16.278294,0.217312,14.322962,-3.492511,12.743339,3.630631,8.781314,1.726457,10.749019,3.51476,11.018101,0.223873,10.393529
beda_teks3.wav,unknown,32000,335,3.35,WhatsApp,N/A,-341.602112,63.957855,138.669785,45.000237,40.117451,30.223362,20.505295,31.522789,-27.239815,22.610527,-29.113453,20.166739,-0.655747,15.485435,2.415558,13.199149,-9.359984,12.097618,-8.285439,11.281347,-3.431454,10.848083,-9.017187,7.952872,-4.151529,9.509611
clone1.wav,cloning,32000,685,6.85,WhatsApp,Minimax.AI,-399.15567,91.727074,135.892441,69.623604,27.488997,33.188435,18.562551,30.27383,-1.490819,19.918266,-6.112087,19.08552,7.606326,13.493086,-7.488738,15.686651,-9.901459,15.971422,7.269725,12.627252,2.868056,11.766471,-11.087473,9.913689,-11.84877,9.765131
clone2.wav,cloning,32000,645,6.45,WhatsApp,Minimax.AI,-363.227264,84.478195,136.788147,54.322445,21.966961,31.686087,27.479763,32.456699,-20.501097,22.691973,-25.415443,19.615917,-5.67054,13.457546,-0.693096,10.099088,-8.975742,10.776316,-6.365942,10.530472,-1.664697,8.81472,-10.969808,9.026299,-4.692999,9.506874
clone3.wav,cloning,32000,645,6.45,WhatsApp,Minimax.AI,-347.318115,87.925354,165.620956,55.44022,2.318385,35.73653,20.824537,28.515766,6.888487,22.533926,-16.890533,18.686256,-10.799501,12.871677,-9.620542,12.727216,-13.830542,12.425621,-11.373263,11.167924,-4.048285,10.155949,-9.18056,9.146708,-8.53059,7.462928
clone4.wav,cloning,32000,653,6.53,WhatsApp,Minimax.AI,-337.480377,87.827606,113.397873,46.178493,11.067204,32.131313,51.257751,31.771118,-14.045162,25.514425,-4.640587,16.880981,16.196135,15.472735,-12.685299,12.7079,-10.34889,11.086865,-8.302199,10.654354,-7.720809,9.176016,-6.230332,8.168881,-9.415096,9.414423
clone5.wav,cloning,32000,668,6.68,WhatsApp,Minimax.AI,-357.18161,83.130821,130.323273,50.89027,-6.946092,43.564896,25.363743,32.638138,13.348672,25.146679,-22.501238,23.875992,0.969734,18.732166,3.726329,14.378811,-20.09556,16.085056,-12.484208,13.570844,-1.877964,11.699717,-16.374908,11.091719,-17.097,10.905272
clone_cowo.wav,cloning,32000,630,6.3,WhatsApp,Minimax.AI,-342.084381,97.458153,174.017685,63.934635,19.193462,39.940865,24.907177,33.412273,13.432129,25.53146,21.397415,18.463423,9.578354,14.366797,-6.648127,16.330858,3.484704,11.58127,2.585598,10.904148,3.986978,13.240376,-2.026572,12.05623,-0.022444,8.690836
